(729.0, 445.5)
(743.5, 436.0)
(739.0, 434.5)
(735.5, 430.0)
(722.0, 420.0)
(705.5, 416.5)
(669.0, 410.0)
(669.0, 411.5)
(666.5, 414.0)
(665.0, 418.0)
(665.5, 420.5)
(665.0, 422.0)
(666.5, 420.0)
(667.5, 419.0)
(669.0, 421.5)
(669.5, 417.0)
(673.0, 417.0)
(682.0, 417.0)
(691.0, 417.0)
(706.5, 422.0)
(722.5, 423.5)
(732.5, 421.0)
(746.0, 419.5)
(760.0, 423.0)
(767.5, 426.5)
(784.0, 429.5)
(802.0, 429.5)
(818.5, 427.0)
(821.0, 427.0)
(829.0, 428.5)
(831.5, 425.0)
(829.0, 428.5)
(820.5, 428.0)
(811.5, 427.0)
(802.0, 425.0)
(788.5, 430.0)
(774.0, 431.5)
(763.5, 433.0)
(740.0, 436.5)
(728.0, 434.5)
(705.5, 435.0)
(679.5, 435.5)
(668.5, 436.5)
(645.5, 439.5)
(627.0, 438.0)
(605.0, 431.0)
(584.5, 430.0)
(579.5, 430.0)
(560.0, 427.5)
(552.0, 430.5)
(544.0, 433.0)
(544.0, 431.0)
(544.0, 433.0)
(545.0, 431.0)
(552.5, 430.0)
(563.0, 432.0)
(580.0, 432.0)
(606.0, 434.0)
(618.5, 436.5)
(644.0, 435.0)
(670.5, 432.0)
(690.5, 430.5)
(718.5, 426.0)
(749.5, 426.5)
(763.5, 424.0)
(787.0, 417.5)
(812.0, 409.0)
(819.0, 410.0)
(842.0, 403.0)
(853.0, 404.0)
(602.0, 318.0)
(604.5, 304.0)
(601.0, 286.5)
(598.5, 287.5)
(601.5, 290.0)
(601.5, 289.0)
(602.0, 292.5)
(604.0, 291.5)
(607.0, 291.5)
(608.5, 289.5)
(606.0, 290.0)
(608.5, 289.0)
(609.0, 290.5)
(613.5, 284.5)
(621.5, 274.5)
(620.0, 272.5)
(629.0, 290.5)
(653.5, 374.5)
(651.0, 371.0)
(650.0, 385.0)
(648.0, 395.5)
(649.5, 400.0)
(652.0, 404.5)
(652.5, 401.0)
(653.5, 402.0)
(652.5, 400.0)
(649.5, 398.0)
(649.5, 397.5)
(649.5, 388.5)
(650.5, 395.5)
(655.5, 397.0)
(655.0, 400.5)
(655.5, 398.0)
(655.0, 405.0)
(657.5, 404.0)
(669.5, 395.0)
(683.5, 398.5)
(748.5, 368.0)
(814.5, 272.5)
(939.0, 216.5)
(962.0, 220.5)
(979.0, 229.0)
(997.5, 237.0)
(1016.0, 224.5)
(1052.0, 204.5)
(1099.5, 201.0)
(1121.5, 213.0)
(1136.0, 235.0)
(1070.5, 239.5)
(983.0, 245.0)
(925.0, 230.0)
(850.0, 231.5)
(769.0, 308.5)
(708.5, 327.0)
(660.0, 338.0)
(624.0, 368.0)
(607.5, 355.5)
(584.5, 347.0)
(567.5, 353.5)
(556.5, 363.0)
(544.5, 361.5)
(530.5, 348.0)
(510.5, 322.5)
(491.0, 360.0)
(471.0, 360.0)
(468.5, 360.0)
(471.0, 360.0)
(471.0, 360.0)
(487.0, 360.0)
(518.5, 360.0)
(555.0, 360.0)
(571.5, 360.0)
(615.0, 360.0)
(659.0, 347.5)
(703.5, 339.0)
(743.5, 329.5)
(759.5, 319.5)
(779.5, 322.5)
(793.0, 325.0)
(687.0, 381.5)
(690.0, 379.0)
(689.5, 375.0)
(686.0, 364.5)
(688.0, 363.5)
(680.5, 346.5)
(700.5, 298.5)
(758.0, 307.0)
(819.5, 297.5)
(905.0, 283.5)
(958.0, 279.0)
(1000.0, 271.5)
(1018.5, 278.5)
(1015.0, 268.5)
(1009.5, 261.5)
(953.5, 280.0)
(881.5, 297.0)
(845.0, 324.5)
(707.0, 361.5)
(623.5, 373.5)
(591.0, 372.5)
(567.5, 369.0)
(562.5, 366.5)
(567.5, 369.5)
(588.0, 370.5)
(629.5, 373.0)
(689.0, 374.0)
(722.5, 369.0)
(781.5, 356.5)
(839.0, 338.5)
(874.5, 309.0)
(884.0, 292.5)
(867.0, 285.5)
(839.0, 289.0)
(784.5, 295.0)
(729.5, 305.0)
(704.5, 316.0)
(658.5, 325.5)
